.Archetype.,Archetype,metrics,value,data_type
Abdominal Hernia,Archetype 1,Prevalence,0.054,Diagnosis
Abdominal Hernia,Archetype 1,Mean Frequency,1.41,Diagnosis
Abdominal Hernia,Archetype 1,Median Frequency,1.0,Diagnosis
Abdominal Hernia,Archetype 1,Frequency per Quarter,0.02,Diagnosis
Abdominal Hernia,Archetype 1,Frequency per Month,0.01,Diagnosis
Abdominal Hernia,Archetype 2,Prevalence,0.124,Diagnosis
Abdominal Hernia,Archetype 2,Mean Frequency,1.8,Diagnosis
Abdominal Hernia,Archetype 2,Median Frequency,1.0,Diagnosis
Abdominal Hernia,Archetype 2,Frequency per Quarter,0.03,Diagnosis
Abdominal Hernia,Archetype 2,Frequency per Month,0.01,Diagnosis
Abdominal Hernia,Archetype 3,Prevalence,0.127,Diagnosis
Abdominal Hernia,Archetype 3,Mean Frequency,1.71,Diagnosis
Abdominal Hernia,Archetype 3,Median Frequency,1.0,Diagnosis
Abdominal Hernia,Archetype 3,Frequency per Quarter,0.01,Diagnosis
Abdominal Hernia,Archetype 3,Frequency per Month,0.0,Diagnosis
Abdominal Hernia,Archetype 4,Prevalence,0.249,Diagnosis
Abdominal Hernia,Archetype 4,Mean Frequency,2.48,Diagnosis
Abdominal Hernia,Archetype 4,Median Frequency,1.0,Diagnosis
Abdominal Hernia,Archetype 4,Frequency per Quarter,0.04,Diagnosis
Abdominal Hernia,Archetype 4,Frequency per Month,0.01,Diagnosis
Abdominal Hernia,Overall,Prevalence,0.1,Diagnosis
Abdominal Hernia,Overall,Mean Frequency,1.8,Diagnosis
Abdominal Hernia,Overall,Median Frequency,1.0,Diagnosis
Abdominal Hernia,Overall,Frequency per Quarter,0.02,Diagnosis
Abdominal Hernia,Overall,Frequency per Month,0.01,Diagnosis
Abdominal Hernia,Standard Deviation,Mean Frequency,0.39,Diagnosis
Abdominal Hernia,Standard Deviation,Median Frequency,0.0,Diagnosis
Abdominal Hernia,Standard Deviation,Frequency per Quarter,0.01,Diagnosis
Abdominal Hernia,Standard Deviation,Frequency per Month,0.0,Diagnosis
Abdominal Pain,Archetype 1,Prevalence,0.117,Diagnosis
Abdominal Pain,Archetype 1,Mean Frequency,1.64,Diagnosis
Abdominal Pain,Archetype 1,Median Frequency,1.0,Diagnosis
Abdominal Pain,Archetype 1,Frequency per Quarter,0.04,Diagnosis
Abdominal Pain,Archetype 1,Frequency per Month,0.02,Diagnosis
Abdominal Pain,Archetype 2,Prevalence,0.288,Diagnosis
Abdominal Pain,Archetype 2,Mean Frequency,2.49,Diagnosis
Abdominal Pain,Archetype 2,Median Frequency,2.0,Diagnosis
Abdominal Pain,Archetype 2,Frequency per Quarter,0.08,Diagnosis
Abdominal Pain,Archetype 2,Frequency per Month,0.03,Diagnosis
Abdominal Pain,Archetype 3,Prevalence,0.326,Diagnosis
Abdominal Pain,Archetype 3,Mean Frequency,2.33,Diagnosis
Abdominal Pain,Archetype 3,Median Frequency,2.0,Diagnosis
Abdominal Pain,Archetype 3,Frequency per Quarter,0.05,Diagnosis
Abdominal Pain,Archetype 3,Frequency per Month,0.02,Diagnosis
Abdominal Pain,Archetype 4,Prevalence,0.577,Diagnosis
Abdominal Pain,Archetype 4,Mean Frequency,4.66,Diagnosis
Abdominal Pain,Archetype 4,Median Frequency,3.0,Diagnosis
Abdominal Pain,Archetype 4,Frequency per Quarter,0.18,Diagnosis
Abdominal Pain,Archetype 4,Frequency per Month,0.06,Diagnosis
Abdominal Pain,Overall,Prevalence,0.235,Diagnosis
Abdominal Pain,Overall,Mean Frequency,2.63,Diagnosis
Abdominal Pain,Overall,Median Frequency,2.0,Diagnosis
Abdominal Pain,Overall,Frequency per Quarter,0.06,Diagnosis
Abdominal Pain,Overall,Frequency per Month,0.02,Diagnosis
Abdominal Pain,Standard Deviation,Mean Frequency,1.13,Diagnosis
Abdominal Pain,Standard Deviation,Median Frequency,0.71,Diagnosis
Abdominal Pain,Standard Deviation,Frequency per Quarter,0.06,Diagnosis
Abdominal Pain,Standard Deviation,Frequency per Month,0.02,Diagnosis
Administrative Social Admission,Archetype 1,Prevalence,0.065,Diagnosis
Administrative Social Admission,Archetype 1,Mean Frequency,1.53,Diagnosis
Administrative Social Admission,Archetype 1,Median Frequency,1.0,Diagnosis
Administrative Social Admission,Archetype 1,Frequency per Quarter,0.03,Diagnosis
Administrative Social Admission,Archetype 1,Frequency per Month,0.02,Diagnosis
Administrative Social Admission,Archetype 2,Prevalence,0.131,Diagnosis
Administrative Social Admission,Archetype 2,Mean Frequency,2.42,Diagnosis
Administrative Social Admission,Archetype 2,Median Frequency,1.0,Diagnosis
Administrative Social Admission,Archetype 2,Frequency per Quarter,0.04,Diagnosis
Administrative Social Admission,Archetype 2,Frequency per Month,0.01,Diagnosis
Administrative Social Admission,Archetype 3,Prevalence,0.146,Diagnosis
Administrative Social Admission,Archetype 3,Mean Frequency,2.57,Diagnosis
Administrative Social Admission,Archetype 3,Median Frequency,1.0,Diagnosis
Administrative Social Admission,Archetype 3,Frequency per Quarter,0.02,Diagnosis
Administrative Social Admission,Archetype 3,Frequency per Month,0.01,Diagnosis
Administrative Social Admission,Archetype 4,Prevalence,0.281,Diagnosis
Administrative Social Admission,Archetype 4,Mean Frequency,4.84,Diagnosis
Administrative Social Admission,Archetype 4,Median Frequency,2.0,Diagnosis
Administrative Social Admission,Archetype 4,Frequency per Quarter,0.09,Diagnosis
Administrative Social Admission,Archetype 4,Frequency per Month,0.03,Diagnosis
Administrative Social Admission,Overall,Prevalence,0.113,Diagnosis
Administrative Social Admission,Overall,Mean Frequency,2.67,Diagnosis
Administrative Social Admission,Overall,Median Frequency,1.0,Diagnosis
Administrative Social Admission,Overall,Frequency per Quarter,0.04,Diagnosis
Administrative Social Admission,Overall,Frequency per Month,0.02,Diagnosis
Administrative Social Admission,Standard Deviation,Mean Frequency,1.22,Diagnosis
